symbol,name,cost_price,volume,buy_date,factor,target_weight
002231,*ST奥维,1.33,4900.0,2026-01-05,0.8279770532637614,0.006622516556291391
688701,卓锦股份,8.2,800.0,2026-01-05,0.8069267358960934,0.006622516556291391
300173,福能东方,4.23,1500.0,2026-01-05,0.7946958613804539,0.006622516556291391
002689,远大智能,3.22,2000.0,2026-01-05,0.7581061012022403,0.006622516556291391
600228,*ST返利,5.57,1100.0,2026-01-05,0.7421827979097143,0.006622516556291391
600696,*ST岩石,2.76,2300.0,2026-01-05,0.7321193315566504,0.006622516556291391
600800,渤海化学,3.46,1900.0,2026-01-05,0.7306366146427759,0.006622516556291391
002424,贵州百灵,4.26,1500.0,2026-01-05,0.7212617058055495,0.006622516556291391
000695,滨海能源,12.7,500.0,2026-01-05,0.7198652518618364,0.006622516556291391
603536,惠发食品,11.08,500.0,2026-01-05,0.7135133417197028,0.006622516556291391
688296,和达科技,13.32,400.0,2026-01-05,0.7051903336933184,0.006622516556291391
688793,倍轻松,21.8,300.0,2026-01-05,0.6974106575896746,0.006622516556291391
002193,如意集团,5.31,1200.0,2026-01-05,0.6925934837112261,0.006622516556291391
300313,*ST天山,8.1,800.0,2026-01-05,0.6925414669556436,0.006622516556291391
002808,*ST恒久,4.99,1300.0,2026-01-05,0.6902439445193954,0.006622516556291391
603829,洛凯股份,22.34,200.0,2026-01-05,0.683646552864077,0.006622516556291391
600365,ST通葡,3.25,2000.0,2026-01-05,0.6834737310904451,0.006622516556291391
600421,*ST华嵘,6.98,900.0,2026-01-05,0.6794998139163893,0.006622516556291391
300929,华骐环保,10.76,600.0,2026-01-05,0.6741884870193791,0.006622516556291391
603729,龙韵股份,16.09,400.0,2026-01-05,0.6741175447846706,0.006622516556291391
300338,ST开元,3.81,1700.0,2026-01-05,0.6661731028751305,0.006622516556291391
688182,灿勤科技,30.4,200.0,2026-01-05,0.6610216337577985,0.006622516556291391
688078,龙软科技,27.55,200.0,2026-01-05,0.6594282867354224,0.006622516556291391
300670,大烨智能,7.15,900.0,2026-01-05,0.659292510245707,0.006622516556291391
688184,ST帕瓦,9.28,700.0,2026-01-05,0.6581916010321467,0.006622516556291391
301390,经纬股份,33.35,100.0,2026-01-05,0.6570439167457256,0.006622516556291391
600900,长江电力,27.2,200.0,2026-01-05,0.6566055452367306,0.006622516556291391
605081,*ST太和,10.65,600.0,2026-01-05,0.6541613566760333,0.006622516556291391
600455,博通股份,25.83,200.0,2026-01-05,0.6525763847718294,0.006622516556291391
300886,华业香料,25.88,200.0,2026-01-05,0.6513984443717074,0.006622516556291391
300334,津膜科技,6.97,900.0,2026-01-05,0.6490828492564278,0.006622516556291391
300736,百邦科技,15.52,400.0,2026-01-05,0.6484355713580471,0.006622516556291391
300605,恒锋信息,15.7,400.0,2026-01-05,0.6462835448697258,0.006622516556291391
300621,维业股份,8.41,700.0,2026-01-05,0.6453502853420594,0.006622516556291391
603789,*ST星农,5.35,1200.0,2026-01-05,0.6435756071063675,0.006622516556291391
002425,ST凯文,3.57,1800.0,2026-01-05,0.6424855177955354,0.006622516556291391
603815,交建股份,7.41,800.0,2026-01-05,0.6396442069072776,0.006622516556291391
002620,ST瑞和,5.08,1300.0,2026-01-05,0.6372138730161993,0.006622516556291391
601728,中国电信,6.3,1000.0,2026-01-05,0.6370182024316341,0.006622516556291391
000679,大连友谊,7.11,900.0,2026-01-05,0.6357654826447806,0.006622516556291391
301098,金埔园林,8.6,700.0,2026-01-05,0.6357114695303094,0.006622516556291391
300477,ST合纵,2.67,2400.0,2026-01-05,0.6354472508112897,0.006622516556291391
300460,惠伦晶体,7.69,800.0,2026-01-05,0.6345068495498614,0.006622516556291391
002883,中设股份,10.95,600.0,2026-01-05,0.6338992209487336,0.006622516556291391
002719,麦趣尔,8.53,700.0,2026-01-05,0.6320766838952064,0.006622516556291391
000609,ST中迪,8.71,700.0,2026-01-05,0.6314239172740522,0.006622516556291391
688670,金迪克,20.17,300.0,2026-01-05,0.6314236854232718,0.006622516556291391
688659,元琛科技,9.49,600.0,2026-01-05,0.6302775734962933,0.006622516556291391
301567,贝隆精密,47.05,100.0,2026-01-05,0.6301834117367043,0.006622516556291391
600608,*ST沪科,3.38,1900.0,2026-01-05,0.6300576860509374,0.006622516556291391
688217,睿昂基因,26.55,200.0,2026-01-05,0.6299094426943048,0.006622516556291391
300295,三六五网,12.53,500.0,2026-01-05,0.6293405662705348,0.006622516556291391
600149,廊坊发展,5.0,1300.0,2026-01-05,0.629135649116788,0.006622516556291391
688573,信宇人,22.9,200.0,2026-01-05,0.6278473744392791,0.006622516556291391
000004,*ST国华,11.08,500.0,2026-01-05,0.6272384438110565,0.006622516556291391
688260,昀冢科技,28.65,200.0,2026-01-05,0.625137827031492,0.006622516556291391
000952,广济药业,7.01,900.0,2026-01-05,0.6250549698256227,0.006622516556291391
600193,*ST创兴,3.85,1700.0,2026-01-05,0.6236490858072515,0.006622516556291391
